,id,player,year,stint,team,lg,g,ab,r,h,X2b,X3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
0,4,ansonca01,1871,1,RC1,,25,120,29,39,11,3,0,16.0,6.0,2.0,2,1.0,,,,,
1,44,forceda01,1871,1,WS3,,32,162,45,45,9,4,0,29.0,8.0,0.0,4,0.0,,,,,
2,68,mathebo01,1871,1,FW1,,19,89,15,24,3,1,0,10.0,2.0,1.0,2,0.0,,,,,
3,99,startjo01,1871,1,NY2,,33,161,35,58,5,1,1,34.0,4.0,2.0,3,0.0,,,,,
4,102,suttoez01,1871,1,CL1,,29,128,35,45,3,7,3,23.0,3.0,1.0,1,0.0,,,,,
5,106,whitede01,1871,1,CL1,,29,146,40,47,6,5,1,21.0,2.0,2.0,4,1.0,,,,,
6,113,yorkto01,1871,1,TRO,,29,145,36,37,5,7,2,23.0,2.0,2.0,9,1.0,,,,,
7,121,ansonca01,1872,1,PH1,,46,217,60,90,10,7,0,50.0,6.0,6.0,16,3.0,,,,,
8,143,burdoja01,1872,1,BR2,,37,174,26,46,3,0,0,15.0,0.0,1.0,1,1.0,,,,,
9,167,forceda01,1872,1,TRO,,25,130,40,53,11,0,0,16.0,2.0,2.0,1,0.0,,,,,
10,168,forceda01,1872,2,BL1,,19,95,29,41,2,2,0,13.0,3.0,0.0,1,0.0,,,,,
11,186,hinespa01,1872,1,WS4,,11,49,9,12,1,0,0,5.0,0.0,0.0,0,0.0,,,,,
12,209,mathebo01,1872,1,BL1,,50,223,36,50,1,0,0,21.0,1.0,1.0,3,2.0,,,,,
13,226,nelsoca01,1872,1,TRO,,4,20,2,7,0,0,0,4.0,0.0,0.0,0,2.0,,,,,
14,227,nelsoca01,1872,2,BR1,,18,76,12,19,2,0,0,8.0,1.0,0.0,2,2.0,,,,,
15,229,orourji01,1872,1,MID,,23,101,25,31,4,1,0,12.0,1.0,0.0,2,0.0,,,,,
16,249,startjo01,1872,1,NY2,,55,282,62,76,4,0,0,50.0,3.0,3.0,0,0.0,,,,,
17,252,suttoez01,1872,1,CL1,,22,107,30,30,6,1,0,10.0,1.0,0.0,1,1.0,,,,,
18,259,whitede01,1872,1,CL1,,22,109,21,37,2,2,0,22.0,0.0,0.0,4,1.0,,,,,
19,268,yorkto01,1872,1,BL1,,51,248,66,66,10,4,1,41.0,2.0,1.0,4,1.0,,,,,
20,276,ansonca01,1873,1,PH1,,52,254,53,101,9,2,0,36.0,0.0,2.0,5,1.0,,,,,
21,293,burdoja01,1873,1,BR2,,55,245,56,62,7,1,2,36.0,3.0,1.0,7,4.0,,,,,
22,314,forceda01,1873,1,BL1,,49,234,77,86,8,1,0,31.0,1.0,0.0,9,0.0,,,,,
23,318,gerhajo01,1873,1,WS5,,13,56,6,12,3,0,0,7.0,0.0,0.0,0,5.0,,,,,
24,327,hinespa01,1873,1,WS5,,39,181,33,60,6,3,1,29.0,0.0,1.0,1,1.0,,,,,
25,344,mathebo01,1873,1,NY2,,52,223,40,43,3,3,0,13.0,1.0,1.0,10,3.0,,,,,
26,353,nelsoca01,1873,1,NY2,,36,168,28,55,4,1,0,22.0,2.0,0.0,1,2.0,,,,,
27,355,orourji01,1873,1,BS1,,57,280,79,98,19,3,1,48.0,4.0,2.0,14,1.0,,,,,
28,375,snydepo01,1873,1,WS5,,28,108,16,21,2,0,0,4.0,0.0,1.0,3,3.0,,,,,
29,377,startjo01,1873,1,NY2,,53,251,42,67,8,3,1,28.0,1.0,0.0,4,0.0,,,,,
30,380,suttoez01,1873,1,PH1,,51,242,51,81,7,6,0,33.0,1.0,3.0,2,2.0,,,,,
31,386,whitede01,1873,1,BS1,,60,310,79,121,15,6,0,66.0,6.0,2.0,0,2.0,,,,,
32,394,yorkto01,1873,1,BL1,,57,277,70,84,10,7,2,49.0,3.0,1.0,3,3.0,,,,,
33,398,ansonca01,1874,1,PH1,,55,259,51,87,8,3,0,37.0,6.0,0.0,4,1.0,,,,,
34,413,burdoja01,1874,1,NY2,,61,273,45,75,11,4,1,27.0,4.0,0.0,1,5.0,,,,,
35,436,forceda01,1874,1,CH2,,59,294,61,92,9,0,0,26.0,4.0,0.0,3,1.0,,,,,
36,441,gerhajo01,1874,1,BL1,,14,61,10,19,0,1,0,6.0,0.0,0.0,0,0.0,,,,,
37,451,hinespa01,1874,1,CH2,,59,271,47,80,10,2,0,34.0,4.0,1.0,4,4.0,,,,,
38,465,mathebo01,1874,1,NY2,,65,298,46,72,6,1,0,30.0,2.0,0.0,3,3.0,,,,,
39,476,nelsoca01,1874,1,NY2,,65,297,55,73,7,5,0,32.0,6.0,0.0,9,5.0,,,,,
40,478,orourji01,1874,1,BS1,,70,331,82,104,15,8,5,61.0,11.0,1.0,4,5.0,,,,,
41,496,shaffor01,1874,1,HR1,,9,35,6,8,0,0,1,3.0,0.0,0.0,0,3.0,,,,,
42,497,shaffor01,1874,2,NY2,,1,5,1,1,0,0,0,0.0,0.0,0.0,0,0.0,,,,,
43,501,snydepo01,1874,1,BL1,,39,151,24,33,4,0,1,17.0,0.0,0.0,1,2.0,,,,,
44,503,startjo01,1874,1,NY2,,63,306,67,96,13,3,2,45.0,5.0,0.0,4,0.0,,,,,
45,505,suttoez01,1874,1,PH1,,55,243,54,71,10,3,0,28.0,6.0,4.0,0,2.0,,,,,
46,512,whitede01,1874,1,BS1,,70,353,75,106,5,7,3,52.0,1.0,1.0,4,0.0,,,,,
47,517,yorkto01,1874,1,PH2,,50,224,36,56,4,7,0,37.0,1.0,0.0,5,4.0,,,,,
48,525,ansonca01,1875,1,PH1,,69,326,84,106,15,3,0,58.0,11.0,6.0,4,2.0,,,,,
49,551,burdoja01,1875,1,HR1,,74,350,72,103,12,5,0,35.0,20.0,11.0,3,13.0,,,,,
50,590,forceda01,1875,1,PH1,,77,386,78,120,22,5,0,49.0,6.0,3.0,7,5.0,,,,,
51,593,galvipu01,1875,1,SL2,,13,46,8,6,2,1,0,2.0,3.0,0.0,0,1.0,,,,,
52,596,gerhajo01,1875,1,NY2,,58,252,29,54,7,3,0,20.0,0.0,5.0,0,2.0,,,,,
53,621,hinespa01,1875,1,CH2,,69,308,45,101,14,4,0,36.0,6.0,9.0,1,0.0,,,,,
54,624,jonesch01,1875,1,KEO,,12,47,4,13,2,4,0,10.0,1.0,1.0,0,5.0,,,,,
55,625,jonesch01,1875,2,HR1,,1,4,1,0,0,0,0,0.0,0.0,0.0,0,1.0,,,,,
56,643,mathebo01,1875,1,NY2,,70,264,23,48,6,2,0,15.0,1.0,2.0,2,5.0,,,,,
57,665,nelsoca01,1875,1,NY2,,70,276,28,55,7,1,0,23.0,4.0,2.0,9,0.0,,,,,
58,670,orourji01,1875,1,BS1,,75,358,97,106,13,7,6,72.0,17.0,5.0,9,6.0,,,,,
59,699,shaffor01,1875,1,PH2,,19,70,10,17,2,1,0,6.0,2.0,0.0,0,4.0,,,,,
60,704,snydepo01,1875,1,PH2,,66,263,38,64,8,2,1,25.0,3.0,8.0,4,4.0,,,,,
61,708,startjo01,1875,1,NY2,,69,314,58,90,10,5,4,30.0,1.0,4.0,3,0.0,,,,,
62,713,suttoez01,1875,1,PH1,,75,358,83,116,11,7,1,59.0,13.0,10.0,1,3.0,,,,,
63,728,whitede01,1875,1,BS1,,80,371,76,136,23,3,1,60.0,2.0,3.0,3,2.0,,,,,
64,734,yorkto01,1875,1,HR1,,86,375,68,111,14,7,0,37.0,7.0,3.0,3,6.0,,,,,
65,741,ansonca01,1876,1,CHN,NL,66,309,63,110,9,7,2,59.0,,,12,8.0,,,,,
66,756,burdoja01,1876,1,HAR,NL,69,309,66,80,9,1,0,23.0,,,13,16.0,,,,,
67,781,forceda01,1876,1,PHN,NL,60,284,48,66,6,0,0,17.0,,,5,3.0,,,,,
68,782,forceda01,1876,2,NY3,NL,1,3,0,0,0,0,0,0.0,,,0,0.0,,,,,
69,785,gerhajo01,1876,1,LS1,NL,65,292,33,76,10,3,2,18.0,,,3,5.0,,,,,
70,798,hinespa01,1876,1,CHN,NL,64,305,62,101,21,3,2,59.0,,,1,3.0,,,,,
71,801,jonesch01,1876,1,CN1,NL,64,276,40,79,17,4,4,38.0,,,7,17.0,,,,,
72,811,mathebo01,1876,1,NY3,NL,56,218,19,40,4,1,0,9.0,,,3,2.0,,,,,
73,819,morrijo01,1876,1,BSN,NL,66,278,38,73,5,2,0,26.0,,,3,5.0,,,,,
74,824,orourji01,1876,1,BSN,NL,70,312,61,102,17,3,2,43.0,,,15,17.0,,,,,
75,840,snydepo01,1876,1,LS1,NL,56,224,21,44,4,1,1,9.0,,,2,7.0,,,,,
76,844,startjo01,1876,1,NY3,NL,56,264,40,73,6,0,0,21.0,,,1,2.0,,,,,
77,845,suttoez01,1876,1,PHN,NL,54,236,45,70,12,7,1,31.0,,,3,2.0,,,,,
78,853,whitede01,1876,1,CHN,NL,66,303,66,104,18,1,1,60.0,,,7,3.0,,,,,
79,859,yorkto01,1876,1,HAR,NL,67,263,47,68,12,7,1,39.0,,,10,4.0,,,,,
80,863,ansonca01,1877,1,CHN,NL,59,255,52,86,19,1,0,32.0,,,9,3.0,,,,,
81,873,burdoja01,1877,1,HAR,NL,58,277,35,72,6,0,0,9.0,,,2,16.0,,,,,
82,890,forceda01,1877,1,SL3,NL,58,225,24,59,5,3,0,22.0,,,11,15.0,,,,,
83,891,gerhajo01,1877,1,LS1,NL,59,250,41,76,6,5,1,35.0,,,5,8.0,,,,,
84,903,hinespa01,1877,1,CHN,NL,60,261,44,73,11,7,0,23.0,,,1,8.0,,,,,
85,905,jonesch01,1877,1,CN1,NL,17,69,16,21,3,3,1,10.0,0.0,0.0,4,8.0,0.0,0.0,0.0,0.0,
86,906,jonesch01,1877,2,CHN,NL,2,8,1,3,1,0,0,2.0,,,1,0.0,,,,,
87,907,jonesch01,1877,3,CN1,NL,38,163,36,51,8,7,1,26.0,,,10,17.0,,,,,
88,919,mathebo01,1877,1,CN1,NL,15,59,5,10,0,0,0,0.0,,,1,2.0,,,,,
89,926,morrijo01,1877,1,BSN,NL,61,242,47,73,5,1,0,28.0,,,6,15.0,,,,,
90,931,orourji01,1877,1,BSN,NL,61,265,68,96,14,4,0,23.0,,,20,9.0,,,,,
91,943,shaffor01,1877,1,LS1,NL,61,260,38,74,9,5,3,34.0,,,9,17.0,,,,,
92,946,snydepo01,1877,1,LS1,NL,61,248,23,64,7,2,2,28.0,,,3,14.0,,,,,
93,948,startjo01,1877,1,HAR,NL,60,271,55,90,3,6,1,21.0,,,6,2.0,,,,,
94,950,suttoez01,1877,1,BSN,NL,58,253,43,74,10,6,0,39.0,,,4,10.0,,,,,
95,953,whitede01,1877,1,BSN,NL,59,266,51,103,14,11,2,49.0,,,8,3.0,,,,,
96,957,yorkto01,1877,1,HAR,NL,56,237,43,67,16,7,1,37.0,,,3,11.0,,,,,
97,959,ansonca01,1878,1,CHN,NL,60,261,55,89,12,2,0,40.0,,,13,1.0,,,,,
98,960,bennech01,1878,1,ML2,NL,49,184,16,45,9,0,1,12.0,,,10,26.0,,,,,
99,964,burdoja01,1878,1,BSN,NL,60,246,37,64,12,6,0,25.0,,,3,17.0,,,,,
100,979,gerhajo01,1878,1,CN1,NL,60,259,46,77,7,2,0,28.0,,,7,14.0,,,,,
101,990,hinespa01,1878,1,PRO,NL,62,257,42,92,13,4,4,50.0,,,2,10.0,,,,,
102,993,jonesch01,1878,1,CN1,NL,61,261,50,81,11,7,3,39.0,,,4,17.0,,,,,
103,994,kellyki01,1878,1,CN1,NL,60,237,29,67,7,1,0,27.0,,,7,7.0,,,,,
104,1005,morrijo01,1878,1,BSN,NL,60,233,26,56,5,1,0,23.0,,,5,16.0,,,,,
105,1007,nelsoca01,1878,1,IN1,NL,19,84,12,11,1,0,0,5.0,,,5,11.0,,,,,
106,1010,orourji01,1878,1,BSN,NL,60,255,44,71,17,7,1,29.0,,,5,21.0,,,,,
107,1020,shaffor01,1878,1,IN1,NL,63,266,48,90,19,6,0,30.0,,,13,20.0,,,,,
108,1021,snydepo01,1878,1,BSN,NL,60,226,21,48,5,0,0,14.0,,,1,19.0,,,,,
109,1023,startjo01,1878,1,CHN,NL,61,285,58,100,12,5,1,27.0,,,2,3.0,,,,,
110,1026,suttoez01,1878,1,BSN,NL,60,239,31,54,9,3,1,29.0,,,2,14.0,,,,,
111,1029,wardjo01,1878,1,PRO,NL,37,138,14,27,5,4,1,15.0,,,2,13.0,,,,,
112,1033,whitede01,1878,1,CN1,NL,61,258,41,81,4,1,0,29.0,,,10,5.0,,,,,
113,1037,yorkto01,1878,1,PRO,NL,62,269,56,83,19,10,1,26.0,,,8,19.0,,,,,
114,1042,ansonca01,1879,1,CHN,NL,51,227,40,72,20,1,0,34.0,,,2,2.0,,,,,
115,1046,broutda01,1879,1,TRN,NL,39,168,17,46,12,1,4,17.0,,,1,18.0,,,,,
116,1049,burdoja01,1879,1,BSN,NL,84,359,64,86,10,3,0,36.0,,,9,28.0,,,,,
117,1076,forceda01,1879,1,BFN,NL,79,316,36,66,5,2,0,8.0,,,13,37.0,,,,,
118,1078,galvipu01,1879,1,BFN,NL,67,265,34,66,11,6,0,27.0,,,1,56.0,,,,,
119,1080,gerhajo01,1879,1,CN1,NL,79,313,22,62,12,3,1,39.0,,,3,19.0,,,,,
120,1082,glassja01,1879,1,CL2,NL,80,325,31,68,9,3,0,29.0,,,6,24.0,,,,,
121,1084,gorege01,1879,1,CHN,NL,63,266,43,70,17,4,0,32.0,,,8,30.0,,,,,
122,1093,hinespa01,1879,1,PRO,NL,85,409,81,146,25,10,2,52.0,,,8,16.0,,,,,
123,1100,jonesch01,1879,1,BSN,NL,83,355,85,112,22,10,9,62.0,,,29,38.0,,,,,
124,1102,kellyki01,1879,1,CN1,NL,77,345,78,120,20,12,2,47.0,,,8,14.0,,,,,
125,1114,mathebo01,1879,1,PRO,NL,43,173,25,35,2,0,1,10.0,,,7,12.0,,,,,
126,1123,morrijo01,1879,1,BSN,NL,84,348,56,98,18,5,0,49.0,,,14,32.0,,,,,
127,1125,nelsoca01,1879,1,TRN,NL,28,106,17,28,7,1,0,10.0,,,8,4.0,,,,,
128,1127,orourji01,1879,1,PRO,NL,81,362,69,126,19,9,1,46.0,,,13,10.0,,,,,
129,1132,purcebl01,1879,1,SR1,NL,63,277,32,72,6,3,0,25.0,,,3,13.0,,,,,
130,1133,purcebl01,1879,2,CN1,NL,12,50,10,11,0,0,0,4.0,,,0,3.0,,,,,
131,1137,richaha01,1879,1,BFN,NL,79,336,54,95,18,10,0,37.0,,,16,30.0,,,,,
132,1143,shaffor01,1879,1,CHN,NL,73,316,53,96,13,0,0,35.0,,,6,28.0,,,,,
133,1145,snydepo01,1879,1,BSN,NL,81,329,42,78,16,3,2,35.0,,,5,31.0,,,,,
134,1146,startjo01,1879,1,PRO,NL,66,317,70,101,11,5,2,37.0,,,7,4.0,,,,,
135,1151,suttoez01,1879,1,BSN,NL,84,339,54,84,13,4,0,34.0,,,2,18.0,,,,,
136,1155,wardjo01,1879,1,PRO,NL,83,364,71,104,9,4,2,41.0,,,7,14.0,,,,,
137,1159,whitede01,1879,1,CN1,NL,78,333,55,110,16,6,1,52.0,,,6,9.0,,,,,
138,1164,yorkto01,1879,1,PRO,NL,81,342,69,106,25,5,1,50.0,,,19,28.0,,,,,
139,1166,ansonca01,1880,1,CHN,NL,86,356,54,120,24,1,1,74.0,,,14,12.0,,,,,
140,1168,bennech01,1880,1,WOR,NL,51,193,20,44,9,3,0,18.0,,,10,30.0,,,,,
141,1174,broutda01,1880,1,TRN,NL,3,12,0,2,0,0,0,1.0,,,1,0.0,,,,,
142,1175,burdoja01,1880,1,BSN,NL,86,356,58,90,17,4,2,35.0,,,8,26.0,,,,,
143,1183,connoro01,1880,1,TRN,NL,83,340,53,113,18,8,3,47.0,,,13,21.0,,,,,
144,1201,ewingbu01,1880,1,TRN,NL,13,45,1,8,1,0,0,5.0,,,1,3.0,,,,,
145,1206,forceda01,1880,1,BFN,NL,81,290,22,49,10,0,0,17.0,,,10,35.0,,,,,
146,1208,galvipu01,1880,1,BFN,NL,66,241,25,51,9,2,0,12.0,,,5,57.0,,,,,
147,1213,glassja01,1880,1,CL2,NL,77,296,37,72,13,3,0,27.0,,,2,21.0,,,,,
148,1215,gorege01,1880,1,CHN,NL,77,322,70,116,23,2,2,47.0,,,21,10.0,,,,,
149,1224,hinespa01,1880,1,PRO,NL,85,374,64,115,20,2,3,35.0,,,13,17.0,,,,,
150,1231,jonesch01,1880,1,BSN,NL,66,280,44,84,15,3,5,37.0,,,11,27.0,,,,,
151,1233,keefeti01,1880,1,TRN,NL,12,43,4,10,3,0,0,3.0,,,1,12.0,,,,,
152,1235,kellyki01,1880,1,CHN,NL,84,344,72,100,17,9,1,60.0,,,12,22.0,,,,,
153,1239,lathaar01,1880,1,BFN,NL,22,79,9,10,3,1,0,3.0,,,1,8.0,,,,,
154,1251,morrijo01,1880,1,BSN,NL,86,342,51,81,16,8,2,44.0,,,11,37.0,,,,,
155,1256,orourji01,1880,1,BSN,NL,86,363,71,100,20,11,6,45.0,,,21,8.0,,,,,
156,1263,purcebl01,1880,1,CN1,NL,77,325,48,95,13,6,1,24.0,,,5,13.0,,,,,
157,1268,richaha01,1880,1,BFN,NL,83,343,48,89,18,8,0,17.0,,,14,37.0,,,,,
158,1273,shaffor01,1880,1,CL2,NL,83,338,62,90,14,9,0,21.0,,,17,36.0,,,,,
159,1274,smithpo01,1880,1,CN1,NL,83,334,35,69,10,9,0,27.0,,,6,36.0,,,,,
160,1276,startjo01,1880,1,PRO,NL,82,345,53,96,14,6,0,27.0,,,13,20.0,,,,,
161,1278,stoveha01,1880,1,WOR,NL,83,355,76,94,21,14,6,28.0,,,12,46.0,,,,,
162,1282,suttoez01,1880,1,BSN,NL,76,288,41,72,9,2,0,25.0,,,7,7.0,,,,,
163,1287,wardjo01,1880,1,PRO,NL,86,356,53,81,12,2,0,27.0,,,6,16.0,,,,,
164,1291,whitede01,1880,1,CN1,NL,35,141,21,42,4,2,0,7.0,,,9,7.0,,,,,
165,1296,woodge01,1880,1,WOR,NL,81,327,37,80,16,5,0,28.0,,,10,37.0,,,,,
166,1299,yorkto01,1880,1,PRO,NL,53,203,21,43,9,2,0,18.0,,,8,29.0,,,,,
167,1300,ansonca01,1881,1,CHN,NL,84,343,67,137,21,7,1,82.0,,,26,4.0,,,,,
168,1302,bennech01,1881,1,DTN,NL,76,299,44,90,18,7,7,64.0,,,18,37.0,,,,,
169,1306,broutda01,1881,1,BFN,NL,65,270,60,86,18,9,8,45.0,,,18,22.0,,,,,
170,1309,burdoja01,1881,1,BSN,NL,73,282,36,67,12,4,1,24.0,,,7,18.0,,,,,
171,1316,connoro01,1881,1,TRN,NL,85,367,55,107,17,6,2,31.0,,,15,20.0,,,,,
172,1323,dennyje01,1881,1,PRO,NL,85,320,38,77,16,2,1,24.0,,,5,44.0,,,,,
173,1331,ewingbu01,1881,1,TRN,NL,67,272,40,68,14,7,0,25.0,,,7,8.0,,,,,
174,1338,forceda01,1881,1,BFN,NL,75,278,21,50,9,1,0,15.0,,,11,29.0,,,,,
175,1340,galvipu01,1881,1,BFN,NL,62,236,19,50,12,4,0,21.0,,,3,70.0,,,,,
176,1341,gerhajo01,1881,1,DTN,NL,80,297,35,72,13,6,0,36.0,,,7,31.0,,,,,
177,1344,glassja01,1881,1,CL2,NL,85,335,49,86,9,5,0,33.0,,,15,8.0,,,,,
178,1346,gorege01,1881,1,CHN,NL,73,309,86,92,18,9,1,44.0,,,27,23.0,,,,,
179,1350,hinespa01,1881,1,PRO,NL,80,361,65,103,27,5,2,31.0,,,13,12.0,,,,,
180,1356,keefeti01,1881,1,TRN,NL,46,152,18,35,7,1,0,19.0,,,21,26.0,,,,,
181,1357,kellyki01,1881,1,CHN,NL,82,353,84,114,27,3,2,55.0,,,16,14.0,,,,,
182,1365,mathebo01,1881,1,PRO,NL,16,57,6,11,1,0,0,4.0,,,5,6.0,,,,,
183,1366,mathebo01,1881,2,BSN,NL,19,71,2,12,2,0,0,4.0,,,0,5.0,,,,,
184,1371,morrijo01,1881,1,BSN,NL,81,311,47,90,19,3,1,39.0,,,12,30.0,,,,,
185,1376,mullato01,1881,1,DTN,NL,5,19,0,5,0,0,0,1.0,,,0,0.0,,,,,
186,1378,nelsoca01,1881,1,WOR,NL,24,103,13,29,1,0,1,15.0,,,5,6.0,,,,,
187,1382,orourji01,1881,1,BFN,NL,83,348,71,105,21,7,0,30.0,,,27,18.0,,,,,
188,1389,purcebl01,1881,1,CL2,NL,20,80,3,14,2,1,0,4.0,,,5,8.0,,,,,
189,1390,purcebl01,1881,2,BFN,NL,30,113,15,33,7,2,0,17.0,,,8,8.0,,,,,
190,1398,richaha01,1881,1,BFN,NL,83,344,62,100,18,9,2,53.0,,,12,27.0,,,,,
191,1402,shaffor01,1881,1,CL2,NL,85,343,48,88,13,6,1,34.0,,,23,20.0,,,,,
192,1403,smithpo01,1881,1,CL2,NL,10,34,1,4,0,0,0,3.0,,,0,8.0,,,,,
193,1404,smithpo01,1881,2,BFN,NL,3,11,3,0,0,0,0,1.0,,,3,5.0,,,,,
194,1405,smithpo01,1881,3,WOR,NL,11,41,1,3,0,0,0,2.0,,,3,5.0,,,,,
195,1406,snydepo01,1881,1,BSN,NL,62,219,14,50,8,0,0,16.0,,,3,23.0,,,,,
196,1407,startjo01,1881,1,PRO,NL,79,348,56,114,12,6,0,29.0,,,9,7.0,,,,,
197,1409,stoveha01,1881,1,WOR,NL,75,341,57,92,25,7,2,30.0,,,12,23.0,,,,,
198,1412,suttoez01,1881,1,BSN,NL,83,333,43,97,12,4,0,31.0,,,13,9.0,,,,,
199,1419,wardjo01,1881,1,PRO,NL,85,357,56,87,18,6,0,53.0,,,5,10.0,,,,,
200,1421,whitede01,1881,1,BFN,NL,78,319,58,99,24,4,0,53.0,,,9,8.0,,,,,
201,1428,woodge01,1881,1,DTN,NL,80,337,54,100,18,9,2,32.0,,,19,32.0,,,,,
202,1431,yorkto01,1881,1,PRO,NL,85,316,57,96,23,5,2,47.0,,,29,26.0,,,,,
203,1441,brownpe01,1882,1,LS2,AA,69,288,67,109,17,3,5,,0.0,,26,,,,,,
204,1442,brownto01,1882,1,BL2,AA,45,181,30,55,5,2,1,23.0,0.0,,6,,,,,,
205,1497,mcphebi01,1882,1,CN2,AA,78,311,43,71,8,7,1,31.0,0.0,,11,,,,,,
206,1504,mullato01,1882,1,LS2,AA,77,303,46,78,13,1,0,,0.0,,13,,,,,,
